target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,0,0,1,,,2.7364201000891626,d,1,0.1,0,lx,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,1,1,14,,,0.9664243999868632,z,1,0.15,240,lx,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,2,2,8,,,1.4859221000224352,q,1,0.15,120,lx,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,3,3,7,,,0.9302302999421954,c,0,0.1,120,lx,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,4,4,2,,,0.8403109000064433,d,1,0.15,0,lx,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,5,5,3,,,1.2392696000169965,e,1,0.05,60,lx,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,6,6,13,,,1.3783199999015778,z,1,0.1,240,lx,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,7,7,4,,,0.9422887000255288,e,1,0.1,60,lx,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,8,8,15,,,2.6308011000510305,c,1,0.05,300,lx,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,9,9,10,,,1.5421794999856502,a,1,0.1,180,lx,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,10,10,0,,,3.3585155999753624,e,0,0.05,0,lx,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,11,11,12,,,2.457621300127357,a,0,0.05,240,lx,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,12,12,16,,,1.55849750014022,c,1,0.1,300,lx,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,13,13,9,,,1.1667020998429507,a,1,0.05,180,lx,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,14,14,6,,,1.2816584000829607,d,0,0.05,120,lx,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,15,15,11,,,1.6274914999958128,a,1,0.15,180,lx,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,16,16,17,,,0.9964741000439972,c,1,0.15,300,lx,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,17,17,5,,,1.2208509999327362,e,1,0.15,60,lx,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",1,0,18,2,,,1.0941932999994606,d,1,0.15,0,lx,
