target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",2,7,43,7,,,1.682257500011474,e,0,0.1,120,dyh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",2,8,44,6,,,1.2817460999358443,d,0,0.05,120,dyh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",2,9,45,1,,,0.6327192999888211,e,0,0.1,0,dyh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",2,10,46,11,,,0.6208909000270069,a,1,0.15,180,dyh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",2,11,47,17,,,0.8277253000997007,c,1,0.15,300,dyh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",2,12,48,14,,,1.1782984999008477,z,1,0.15,240,dyh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",2,13,49,16,,,0.8991477999370545,c,1,0.1,300,dyh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",2,14,50,13,,,1.1719184999819845,z,1,0.1,240,dyh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",2,15,51,10,,,1.4996838001534345,q,0,0.1,180,dyh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",2,16,52,8,,,1.3908059000968933,c,0,0.15,120,dyh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",2,17,53,2,,,1.244299300014973,a,0,0.15,0,dyh,
