target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,0,0,13,,,2.32415709993802,z,1,0.1,240,lx,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,1,1,2,,,0.8442440999206156,d,1,0.15,0,lx,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,2,2,11,,,1.1594968000426888,a,1,0.15,180,lx,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,3,3,4,,,1.0940988999791443,e,1,0.1,60,lx,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,4,4,3,,,1.832993899937719,e,1,0.05,60,lx,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,5,5,1,,,1.2504447000101209,d,1,0.1,0,lx,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,6,6,16,,,1.354892099974677,c,1,0.1,300,lx,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,7,7,14,,,2.1904144999571145,z,1,0.15,240,lx,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,8,8,8,,,1.425594599917531,q,1,0.15,120,lx,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,9,9,17,,,1.015457300003618,c,1,0.15,300,lx,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,10,10,5,,,1.3420985001139345,e,1,0.15,60,lx,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,11,11,6,,,1.8456761999987064,a,0,0.05,120,lx,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,12,12,10,,,1.8089592000469563,a,1,0.1,180,lx,
