target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",2,7,43,15,,,5.844374599866569,d,0,0.05,300,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",2,8,44,16,,,2.123285499867052,c,1,0.1,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",2,9,45,8,,,0.93072189996019,q,1,0.15,120,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",2,10,46,9,,,0.8144227000884712,a,1,0.05,180,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",2,11,47,14,,,1.2095045000314713,z,1,0.15,240,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",2,12,48,10,,,1.6083029001019895,a,1,0.1,180,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",2,13,49,5,,,1.1494098999537528,e,1,0.15,60,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",2,14,50,4,,,3.0507976000662893,e,1,0.1,60,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",2,15,51,7,,,1.0749911000020802,q,1,0.1,120,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",2,16,52,11,,,0.6403566999360919,a,1,0.15,180,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",2,17,53,0,,,2.3670367999002337,c,0,0.05,0,sjh,
