target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,0,0,13,,,1.2457077000290155,z,1,0.1,240,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,1,1,3,,,1.4440791001543405,a,0,0.05,60,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,2,2,15,,,3.3196588999126107,z,0,0.05,300,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,3,3,17,,,3.4570196999702603,c,1,0.15,300,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,4,4,0,,,1.3598537999205291,e,0,0.05,0,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,5,5,2,,,1.7596663001459092,d,1,0.15,0,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,6,6,7,,,1.397242899984121,q,1,0.1,120,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,7,7,14,,,1.3177936000283808,z,1,0.15,240,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,8,8,10,,,1.5664113000966609,a,1,0.1,180,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,9,9,16,,,2.038832199992612,c,1,0.1,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,10,10,8,,,1.1534170999657365,q,1,0.15,120,sjh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,11,11,12,,,3.8323383999522775,z,1,0.05,240,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,12,12,1,,,1.7970924000255764,a,0,0.1,0,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,13,13,11,,,1.9711312998551875,a,1,0.15,180,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,14,14,4,,,1.917652500094846,e,1,0.1,60,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,15,15,6,,,2.6499900999479,d,0,0.05,120,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,16,16,5,,,1.1903073999565097,e,1,0.15,60,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,17,17,9,,,2.316956599941477,a,1,0.05,180,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",1,0,18,14,,,1.1403533001430333,z,1,0.15,240,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",1,1,19,9,,,1.711711100069806,q,0,0.05,180,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",1,2,20,17,,,2.838757700053975,z,0,0.15,300,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",1,3,21,11,,,1.7307377001270652,a,1,0.15,180,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",1,4,22,2,,,1.3292910000309348,d,1,0.15,0,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",1,5,23,5,,,1.1789023000746963,e,1,0.15,60,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",1,6,24,3,,,4.493172199930996,c,0,0.05,60,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",1,7,25,15,,,3.869092300068587,z,0,0.05,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",1,8,26,7,,,3.3608879998791963,c,0,0.1,120,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",1,9,27,13,,,1.4274037000723183,a,0,0.1,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",1,10,28,8,,,1.1966838999651372,q,1,0.15,120,sjh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",1,11,29,12,,,2.9589199000038207,a,0,0.05,240,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",1,12,30,0,,,4.085622299928218,a,0,0.05,0,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",1,13,31,6,,,3.050786900101229,left,0,0.05,120,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",1,14,32,16,,,1.0215486001688987,c,1,0.1,300,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",1,15,33,10,,,1.268928499892354,a,1,0.1,180,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",1,16,34,4,,,3.657575200079009,e,1,0.1,60,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",1,17,35,1,,,1.124339000089094,d,1,0.1,0,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",2,0,36,1,,,1.232609000056982,d,1,0.1,0,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",2,1,37,5,,,0.9237449001520872,e,1,0.15,60,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",2,2,38,9,,,0.7113300000783056,a,1,0.05,180,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",2,3,39,13,,,1.202823600033298,z,1,0.1,240,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",2,4,40,0,,,3.875409800093621,c,0,0.05,0,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",2,5,41,11,,,0.7552961998153478,a,1,0.15,180,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",2,6,42,7,,,6.655685500008985,a,0,0.1,120,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",2,7,43,17,,,1.3912921999581158,c,1,0.15,300,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",2,8,44,16,,,1.0206560001242906,c,1,0.1,300,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",2,9,45,14,,,1.26957739982754,z,1,0.15,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",2,10,46,8,,,1.3903355000074953,q,1,0.15,120,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",2,11,47,3,,,1.1540081000421196,z,0,0.05,60,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",2,12,48,4,,,0.9487709000241012,e,1,0.1,60,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",2,13,49,10,,,1.2750385000836104,a,1,0.1,180,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",2,14,50,15,,,4.380301899975166,c,1,0.05,300,sjh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",2,15,51,12,,,2.178436500020325,z,1,0.05,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",2,16,52,6,,,1.9601177000440653,a,0,0.05,120,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",2,17,53,2,,,1.547574199968949,d,1,0.15,0,sjh,
