target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,0,0,11,,,1.068833300145343,a,1,0.15,180,lx,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,1,1,5,,,1.0820297000464052,e,1,0.15,60,lx,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,2,2,8,,,1.0928980999160558,c,0,0.15,120,lx,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,3,3,3,,,1.239934700075537,e,1,0.05,60,lx,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,4,4,17,,,1.2156063998118043,c,1,0.15,300,lx,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,5,5,9,,,2.056297600036487,a,1,0.05,180,lx,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,6,6,10,,,2.5312936999835074,z,0,0.1,180,lx,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,7,7,4,,,0.9055681000463665,e,1,0.1,60,lx,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,8,8,13,,,0.8274958000984043,z,1,0.1,240,lx,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,9,9,7,,,2.9047921001911163,left,0,0.1,120,lx,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,10,10,2,,,0.8460381000768393,d,1,0.15,0,lx,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,11,11,12,,,3.287208699854091,e,0,0.05,240,lx,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,12,12,16,,,1.0833499999716878,c,1,0.1,300,lx,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,13,13,15,,,2.0217207998503,c,1,0.05,300,lx,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,14,14,14,,,1.0637050000950694,z,1,0.15,240,lx,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,15,15,0,,,2.279896899824962,d,1,0.05,0,lx,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,16,16,6,,,1.3633057998958975,left,0,0.05,120,lx,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,17,17,1,,,0.8752887998707592,d,1,0.1,0,lx,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",1,0,18,16,,,1.1248301998712122,c,1,0.1,300,lx,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",1,1,19,14,,,1.057800699956715,z,1,0.15,240,lx,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",1,2,20,0,,,1.6989219000097364,d,1,0.05,0,lx,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",1,3,21,10,,,0.7974157000426203,a,1,0.1,180,lx,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",1,4,22,12,,,1.2633619999978691,c,0,0.05,240,lx,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",1,5,23,6,,,1.8809934000018984,left,0,0.05,120,lx,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",1,6,24,13,,,1.7000622998457402,z,1,0.1,240,lx,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",1,7,25,1,,,0.9352523998823016,d,1,0.1,0,lx,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",1,8,26,9,,,3.336376999970525,a,1,0.05,180,lx,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",1,9,27,3,,,1.0090754001867026,e,1,0.05,60,lx,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",1,10,28,4,,,1.415644999826327,e,1,0.1,60,lx,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",1,11,29,7,,,1.140301400097087,q,1,0.1,120,lx,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",1,12,30,11,,,1.226650700205937,a,1,0.15,180,lx,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",1,13,31,8,,,1.475461599882692,c,0,0.15,120,lx,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",1,14,32,5,,,0.8694849000312388,e,1,0.15,60,lx,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",1,15,33,15,,,1.7352028000168502,d,0,0.05,300,lx,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",1,16,34,2,,,0.8214289001189172,d,1,0.15,0,lx,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",1,17,35,17,,,1.2146758001763374,c,1,0.15,300,lx,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",2,0,36,13,,,4.109755200101063,c,0,0.1,240,lx,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",2,1,37,5,,,0.7793288000393659,e,1,0.15,60,lx,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",2,2,38,11,,,0.833814499899745,a,1,0.15,180,lx,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",2,3,39,17,,,1.1777317998930812,c,1,0.15,300,lx,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",2,4,40,4,,,1.039472300093621,e,1,0.1,60,lx,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",2,5,41,6,,,1.3550766999833286,c,0,0.05,120,lx,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",2,6,42,0,,,4.407211000099778,c,0,0.05,0,lx,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",2,7,43,8,,,1.263656900031492,q,1,0.15,120,lx,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",2,8,44,15,,,1.2445805000606924,a,0,0.05,300,lx,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",2,9,45,2,,,0.8581395000219345,d,1,0.15,0,lx,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",2,10,46,3,,,1.8758980999700725,d,0,0.05,60,lx,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",2,11,47,9,,,2.196938600158319,a,1,0.05,180,lx,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",2,12,48,16,,,1.1185465999878943,c,1,0.1,300,lx,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",2,13,49,1,,,1.3974144000094384,d,1,0.1,0,lx,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",2,14,50,14,,,1.311793199973181,z,1,0.15,240,lx,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",2,15,51,10,,,1.948498399928212,a,1,0.1,180,lx,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",2,16,52,12,,,1.3789810000453144,a,0,0.05,240,lx,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",2,17,53,7,,,1.7610051999799907,c,0,0.1,120,lx,
