target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",2,8,44,16,,,1.3496339998673648,c,1,0.1,300,lx,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",2,9,45,11,,,0.7965567000210285,a,1,0.15,180,lx,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",2,10,46,6,,,1.499739000108093,c,0,0.05,120,lx,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",2,11,47,10,,,1.401754700113088,a,1,0.1,180,lx,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",2,12,48,17,,,1.166097899898887,c,1,0.15,300,lx,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",2,13,49,5,,,0.7972568001132458,e,1,0.15,60,lx,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",2,14,50,7,,,0.8510878998786211,q,1,0.1,120,lx,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",2,15,51,13,,,0.659478300018236,d,0,0.1,240,lx,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",2,16,52,12,,,1.4637024998664856,a,0,0.05,240,lx,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",2,17,53,0,,,1.0399140000808984,d,1,0.05,0,lx,
