target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",2,7,43,0,,,1.6940715000964701,c,0,0.05,0,gy,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",2,8,44,5,,,6.0311962000560015,e,1,0.15,60,gy,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",2,9,45,7,,,1.3301144000142813,c,0,0.1,120,gy,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",2,10,46,11,,,1.1187338000163436,a,1,0.15,180,gy,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",2,11,47,10,,,1.4160458999685943,c,0,0.1,180,gy,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",2,12,48,9,,,2.244488899828866,a,1,0.05,180,gy,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",2,13,49,13,,,2.830970599781722,c,0,0.1,240,gy,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",2,14,50,17,,,1.6027281999122351,c,1,0.15,300,gy,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",2,15,51,16,,,2.100368899991736,a,0,0.1,300,gy,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",2,16,52,1,,,1.063429499976337,d,1,0.1,0,gy,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",2,17,53,2,,,2.0038942999672145,a,0,0.15,0,gy,
