target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,0,0,17,,,0.9970389001537114,c,1,0.15,300,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,1,1,10,,,0.930315899895504,a,1,0.1,180,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,2,2,5,,,1.1376988999545574,e,1,0.15,60,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,3,3,15,,,0.9780164000112564,right,0,0.05,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,4,4,6,,,0.8939680999610573,q,1,0.05,120,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,5,5,7,,,1.002632699906826,q,1,0.1,120,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,6,6,4,,,1.294448300031945,e,1,0.1,60,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,7,7,14,,,0.9538465000223368,z,1,0.15,240,sjh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,8,8,12,,,1.4684006997849792,a,0,0.05,240,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,9,9,0,,,1.4457357001956552,d,1,0.05,0,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,10,10,1,,,1.1291046999394894,e,0,0.1,0,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,11,11,3,,,0.9425819998141378,d,0,0.05,60,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,12,12,11,,,0.7959327001590282,a,1,0.15,180,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,13,13,9,,,2.015160399954766,a,1,0.05,180,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,14,14,8,,,1.2280367999337614,q,1,0.15,120,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,15,15,13,,,0.9133860000874848,z,1,0.1,240,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,16,16,16,,,1.7963473999407142,c,1,0.1,300,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,17,17,2,,,1.0026690000668168,d,1,0.15,0,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",1,0,18,2,,,1.166236100019887,d,1,0.15,0,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",1,1,19,15,,,2.3239031000994146,a,0,0.05,300,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",1,2,20,9,,,4.705955999903381,a,1,0.05,180,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",1,3,21,13,,,1.2699736999347806,z,1,0.1,240,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",1,4,22,14,,,1.9342636000365017,z,1,0.15,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",1,5,23,6,,,3.352184700081125,e,0,0.05,120,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",1,6,24,1,,,2.3006013999693096,d,1,0.1,0,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",1,7,25,10,,,1.2637255999725312,a,1,0.1,180,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",1,8,26,4,,,1.3481835001148283,e,1,0.1,60,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",1,9,27,16,,,1.069446099922061,right,0,0.1,300,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",1,10,28,5,,,0.9907857999205588,e,1,0.15,60,sjh,
