target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,0,0,17,,,1.1051961998455226,c,1,0.15,300,sjh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,1,1,12,,,0.88698669988662,a,0,0.05,240,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,2,2,9,,,0.8098243998829275,a,1,0.05,180,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,3,3,10,,,0.7026279999408871,a,1,0.1,180,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,4,4,4,,,1.1475508001167327,e,1,0.1,60,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,5,5,14,,,0.6205017999745905,z,1,0.15,240,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,6,6,11,,,0.4865294999908656,a,1,0.15,180,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,7,7,3,,,3.245757600059733,e,1,0.05,60,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,8,8,15,,,0.6516968000214547,a,0,0.05,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,9,9,6,,,0.917846699943766,a,0,0.05,120,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,10,10,13,,,2.3288577999919653,z,1,0.1,240,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,11,11,0,,,0.713238000171259,d,1,0.05,0,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,12,12,5,,,1.0080707999877632,e,1,0.15,60,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,13,13,16,,,2.476146399974823,right,0,0.1,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,14,14,8,,,1.9181205001659687,a,0,0.15,120,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,15,15,2,,,3.729453100124374,d,1,0.15,0,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,16,16,1,,,2.535792199894786,d,1,0.1,0,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,17,17,7,,,0.8807224000338465,q,1,0.1,120,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",1,0,18,2,,,0.5728919999673963,d,1,0.15,0,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",1,1,19,17,,,0.8575374002102762,c,1,0.15,300,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",1,2,20,13,,,0.7245620000176132,z,1,0.1,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",1,3,21,8,,,0.6635243999771774,q,1,0.15,120,sjh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",1,4,22,12,,,1.158664399990812,z,1,0.05,240,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",1,5,23,16,,,0.6815434999298304,c,1,0.1,300,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",1,6,24,11,,,0.6641121997963637,a,1,0.15,180,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",1,7,25,9,,,3.626730100018904,a,1,0.05,180,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",1,8,26,14,,,1.1477711000479758,z,1,0.15,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",1,9,27,6,,,1.8487607999704776,e,0,0.05,120,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",1,10,28,4,,,1.8643255999777464,c,0,0.1,60,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",1,11,29,1,,,1.1109839000273496,d,1,0.1,0,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",1,12,30,7,,,3.3417520001530647,c,0,0.1,120,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",1,13,31,5,,,0.795963800046593,e,1,0.15,60,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",1,14,32,10,,,0.6398832001723349,a,1,0.1,180,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",1,15,33,3,,,0.796173800015822,d,0,0.05,60,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",1,16,34,0,,,0.7476387000642717,d,1,0.05,0,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",1,17,35,15,,,1.1127313000615686,z,0,0.05,300,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",2,0,36,1,,,0.8392265001311898,d,1,0.1,0,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",2,1,37,2,,,0.7966233000624925,d,1,0.15,0,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",2,2,38,10,,,0.7543285000137985,a,1,0.1,180,sjh,
