target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",0,0,0,12,,,1.0643805998843163,z,1,0.05,240,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",0,1,1,16,,,1.4962871000170708,a,0,0.1,300,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",0,2,2,1,,,1.9416868998669088,d,1,0.1,0,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",0,3,3,10,,,1.7118179998360574,a,1,0.1,180,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",0,4,4,9,,,4.4566575000062585,a,1,0.05,180,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",0,5,5,15,,,1.6329275998286903,c,1,0.05,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",0,6,6,6,,,1.463873199885711,q,1,0.05,120,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",0,7,7,0,,,1.3791368999518454,d,1,0.05,0,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",0,8,8,11,,,1.209377999883145,a,1,0.15,180,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",0,9,9,5,,,0.962208000011742,e,1,0.15,60,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",0,10,10,8,,,1.2269747001118958,q,1,0.15,120,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",0,11,11,4,,,1.0209307000041008,e,1,0.1,60,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",0,12,12,13,,,1.4190110000781715,z,1,0.1,240,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",0,13,13,7,,,2.426800500135869,q,1,0.1,120,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",0,14,14,3,,,2.354951099958271,e,1,0.05,60,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",0,15,15,17,,,2.159858899889514,c,1,0.15,300,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",0,16,16,2,,,1.4560903001111,d,1,0.15,0,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",0,17,17,14,,,1.577832099981606,z,1,0.15,240,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",1,0,18,3,,,3.087426400044933,e,1,0.05,60,sjh,
120,"['q', 'w', 'num_7', '7']",0.05,"(-125.00000000000003, 216.50635094610965)",1,1,19,6,,,2.415102500002831,q,1,0.05,120,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",1,2,20,16,,,2.76650459994562,c,1,0.1,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",1,3,21,7,,,3.5131085999310017,d,0,0.1,120,sjh,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",1,4,22,9,,,1.4154946999624372,a,1,0.05,180,sjh,
300,"['x', 'c', 'num_3', '3']",0.05,"(125.00000000000003, -216.50635094610965)",1,5,23,15,,,3.4915724000893533,e,0,0.05,300,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",1,6,24,17,,,1.354606400011107,c,1,0.15,300,sjh,
120,"['q', 'w', 'num_7', '7']",0.15,"(-125.00000000000003, 216.50635094610965)",1,7,25,8,,,0.9710098998621106,q,1,0.15,120,sjh,
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",1,8,26,4,,,1.1596186999231577,e,1,0.1,60,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",1,9,27,0,,,3.467495399992913,e,0,0.05,0,sjh,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",1,10,28,1,,,2.4257737998850644,e,0,0.1,0,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",1,11,29,13,,,1.2624131999909878,z,1,0.1,240,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",1,12,30,5,,,1.8626957000233235,e,1,0.15,60,sjh,
180,"['a', 'num_4', '4']",0.15,"(-250, 0)",1,13,31,11,,,1.9772786998655647,a,1,0.15,180,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",1,14,32,2,,,1.372064100112766,d,1,0.15,0,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",1,15,33,14,,,1.9296359999571,z,1,0.15,240,sjh,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",1,16,34,10,,,2.2454331999178976,a,1,0.1,180,sjh,
240,"['z', 'num_1', '1']",0.05,"(-125.00000000000003, -216.50635094610965)",1,17,35,12,,,2.8085795999504626,e,0,0.05,240,sjh,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",2,0,36,17,,,1.5551980000454932,c,1,0.15,300,sjh,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",2,1,37,0,,,2.5470562998671085,e,0,0.05,0,sjh,
60,"['e', 'num_9', '9']",0.15,"(125.00000000000003, 216.50635094610965)",2,2,38,5,,,1.7177271998953074,e,1,0.15,60,sjh,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",2,3,39,16,,,1.7768918999936432,c,1,0.1,300,sjh,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",2,4,40,14,,,1.4696923000738025,z,1,0.15,240,sjh,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",2,5,41,3,,,4.4874126999638975,e,1,0.05,60,sjh,
240,"['z', 'num_1', '1']",0.1,"(-125.00000000000003, -216.50635094610965)",2,6,42,13,,,3.13686430011876,z,1,0.1,240,sjh,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",2,7,43,2,,,1.3748977999202907,d,1,0.15,0,sjh,
