target_angle,correct_keys,coherence,target_pos,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,RT,Response,Correct,Coherence,TargetAngle,Participant,Unnamed: 16
60,"['e', 'num_9', '9']",0.1,"(125.00000000000003, 216.50635094610965)",2,7,43,4,,,2.771312800003216,c,0,0.1,60,wzy,
300,"['x', 'c', 'num_3', '3']",0.1,"(125.00000000000003, -216.50635094610965)",2,8,44,16,,,0.984156799968332,c,1,0.1,300,wzy,
180,"['a', 'num_4', '4']",0.1,"(-250, 0)",2,9,45,10,,,0.9787234999239444,a,1,0.1,180,wzy,
300,"['x', 'c', 'num_3', '3']",0.15,"(125.00000000000003, -216.50635094610965)",2,10,46,17,,,0.8509134000632912,c,1,0.15,300,wzy,
0,"['d', 'num_6', '6']",0.1,"(250, 0)",2,11,47,1,,,2.7239087000489235,c,0,0.1,0,wzy,
180,"['a', 'num_4', '4']",0.05,"(-250, 0)",2,12,48,9,,,1.2378269999753684,z,0,0.05,180,wzy,
0,"['d', 'num_6', '6']",0.15,"(250, 0)",2,13,49,2,,,1.468965500127524,c,0,0.15,0,wzy,
0,"['d', 'num_6', '6']",0.05,"(250, 0)",2,14,50,0,,,1.5352272000163794,d,1,0.05,0,wzy,
120,"['q', 'w', 'num_7', '7']",0.1,"(-125.00000000000003, 216.50635094610965)",2,15,51,7,,,1.5783337999600917,left,0,0.1,120,wzy,
60,"['e', 'num_9', '9']",0.05,"(125.00000000000003, 216.50635094610965)",2,16,52,3,,,1.7427918000612408,q,0,0.05,60,wzy,
240,"['z', 'num_1', '1']",0.15,"(-125.00000000000003, -216.50635094610965)",2,17,53,14,,,0.7305931001901627,z,1,0.15,240,wzy,
